instrument,industry
SZ002984,801880.SI
SZ002986,801960.SI
SZ002998,801030.SI
SZ002999,801030.SI
SZ003002,801030.SI
SZ003017,801030.SI
SZ003022,801730.SI
SZ003042,801030.SI
SZ300019,801030.SI
SZ300031,801760.SI
SZ300035,801890.SI
SZ300037,801730.SI
SZ300041,801030.SI
SZ300054,801080.SI
SZ300063,801760.SI
SZ300067,801030.SI
SZ300072,801970.SI
SZ300073,801730.SI
SZ300082,801030.SI
SZ300107,801030.SI
SZ300108,801150.SI
SZ300109,801030.SI
SZ300116,801890.SI
SZ300121,801030.SI
SZ300132,801980.SI
SZ300135,801960.SI
SZ300163,801030.SI
SZ300169,801030.SI
SZ300174,801030.SI
SZ300180,801030.SI
SZ300192,801760.SI
SZ300196,801710.SI
SZ300200,801030.SI
SZ300214,801030.SI
SZ300218,801030.SI
SZ300221,801030.SI
SZ300225,801030.SI
SZ300230,801030.SI
SZ300236,801080.SI
SZ300243,801030.SI
SZ300261,801150.SI
SZ300285,801080.SI
SZ300305,801030.SI
SZ300320,801030.SI
SZ300321,801030.SI
SZ300325,801030.SI
SZ300343,801760.SI
SZ300384,801750.SI
SZ300387,801030.SI
SZ300398,801080.SI
SZ300405,801030.SI
SZ300409,801730.SI
SZ300429,801080.SI
SZ300437,801970.SI
SZ300446,801880.SI
SZ300459,801760.SI
SZ300478,801030.SI
SZ300481,801080.SI
SZ300487,801030.SI
SZ300505,801030.SI
SZ300522,801030.SI
SZ300530,801030.SI
SZ300535,801030.SI
SZ300537,801080.SI
SZ300538,801170.SI
SZ300539,801030.SI
SZ300568,801730.SI
SZ300575,801030.SI
SZ300576,801080.SI
SZ300586,801030.SI
SZ300587,801030.SI
SZ300596,801030.SI
SZ300610,801030.SI
SZ300637,801080.SI
SZ300641,801030.SI
SZ300644,801030.SI
SZ300655,801080.SI
SZ300665,801030.SI
SZ300684,801080.SI
SZ300690,801730.SI
SZ300699,801740.SI
SZ300716,801030.SI
SZ300717,801030.SI
SZ300721,801030.SI
SZ300727,801030.SI
SZ300731,801050.SI
SZ300740,801980.SI
SZ300741,801120.SI
SZ300743,801750.SI
SZ300758,801030.SI
SZ300767,801030.SI
SZ300769,801730.SI
SZ300777,801740.SI
SZ300796,801030.SI
SZ300798,801030.SI
SZ300801,801030.SI
SZ300804,801030.SI
SZ300806,801030.SI
SZ300821,801030.SI
SZ300834,801030.SI
SZ300839,801960.SI
SZ300847,801750.SI
SZ300848,801030.SI
SZ300856,801980.SI
SZ300858,801120.SI
SZ300876,801030.SI
SZ300886,801980.SI
SZ300890,801730.SI
SZ300891,801030.SI
SZ300905,801030.SI
SZ300910,801030.SI
SZ300919,801730.SI
SZ300920,801030.SI
SZ300927,801030.SI
SZ300957,801980.SI
SZ300980,801030.SI
SZ300995,801030.SI
SZ301003,801030.SI
SZ301010,801710.SI
SZ301019,801030.SI
SZ301035,801030.SI
SZ301036,801030.SI
SZ301037,801030.SI
SZ301057,801030.SI
SZ301059,801030.SI
SZ301065,801150.SI
SZ301069,801030.SI
SZ301071,801890.SI
SZ301076,801030.SI
SZ301077,801030.SI
SZ301081,801970.SI
SZ301090,801030.SI
SZ301092,801030.SI
SZ301100,801030.SI
SZ301118,801030.SI
SZ301131,801030.SI
SZ301149,801030.SI
SZ301156,801030.SI
SZ301190,801030.SI
SZ301196,801030.SI
SZ301206,801030.SI
SZ301209,801030.SI
SZ301212,801030.SI
SZ301216,801030.SI
SZ301220,801030.SI
SZ301237,801030.SI
SZ301256,801030.SI
SZ301283,801030.SI
SZ301286,801030.SI
SZ301300,801030.SI
SZ301373,801030.SI
SZ301395,801030.SI
SZ301459,801030.SI
SZ301518,801030.SI
SZ301538,801030.SI
SZ301555,801030.SI
SZ301565,801030.SI
SZ301585,801030.SI
SZ301591,801030.SI
SZ301617,801030.SI
SZ301618,801030.SI
SZ301665,801030.SI
SH600002,801030.SI
SH600028,801960.SI
SH600061,801790.SI
SH600063,801030.SI
SH600065,801030.SI
SH600074,801080.SI
SH600075,801030.SI
SH600078,801030.SI
SH600091,801030.SI
SH600094,801180.SI
SH600096,801030.SI
SH600135,801140.SI
SH600141,801030.SI
SH600143,801030.SI
SH600146,801130.SI
SH600155,801790.SI
SH600157,801950.SI
SH600160,801030.SI
SH600165,801890.SI
SH600176,801710.SI
SH600179,801170.SI
SH600181,801030.SI
SH600182,801880.SI
SH600227,801150.SI
SH600228,801760.SI
SH600229,801760.SI
SH600230,801030.SI
SH600249,801980.SI
SH600256,801960.SI
SH600259,801050.SI
SH600260,801770.SI
SH600273,801130.SI
SH600277,801230.SI
SH600281,801230.SI
SH600299,801030.SI
SH600301,801720.SI
SH600309,801030.SI
SH600315,801980.SI
SH600319,801030.SI
SH600328,801030.SI
SH600331,801050.SI
SH600339,801960.SI
SH600346,801960.SI
SH600352,801030.SI
SH600367,801030.SI
SH600370,801130.SI
SH600378,801030.SI
SH600387,801960.SI
SH600389,801030.SI
SH600392,801050.SI
SH600408,801950.SI
SH600409,801030.SI
SH600423,801030.SI
SH600426,801030.SI
SH600444,801890.SI
SH600458,801890.SI
SH600469,801880.SI
SH600470,801030.SI
SH600481,801890.SI
SH600486,801030.SI
SH600490,801180.SI
SH600500,801200.SI
SH600525,801730.SI
SH600527,801130.SI
SH600532,801950.SI
SH600579,801890.SI
SH600589,801750.SI
SH600596,801030.SI
SH600610,801890.SI
SH600614,801230.SI
SH600615,801180.SI
SH600617,801230.SI
SH600618,801030.SI
SH600623,801030.SI
SH600633,801760.SI
SH600636,801760.SI
SH600656,801230.SI
SH600667,801720.SI
SH600688,801960.SI
SH600691,801230.SI
SH600699,801880.SI
SH600714,801050.SI
SH600722,801030.SI
SH600725,801950.SI
SH600727,801030.SI
SH600731,801030.SI
SH600740,801950.SI
SH600746,801030.SI
SH600763,801150.SI
SH600764,801750.SI
SH600769,801970.SI
SH600772,801030.SI
SH600792,801950.SI
SH600796,801970.SI
SH600803,801160.SI
SH600810,801030.SI
SH600866,801150.SI
SH600871,801960.SI
SH600882,801120.SI
SH600885,801730.SI
SH600889,801030.SI
SH600929,801030.SI
SH600935,801030.SI
SH600955,801030.SI
SH600985,801950.SI
SH600989,801030.SI
SH601058,801880.SI
SH601065,801030.SI
SH601113,801200.SI
SH601163,801880.SI
SH601208,801030.SI
SH601216,801030.SI
SH601233,801960.SI
SH601500,801880.SI
SH601568,801030.SI
SH601678,801030.SI
